name,code_incl_expiration,ticker,shares,NACE
Investeringssels,INVb.CO^F05 (expired),INVb.CO^F05,1645968.0,64
IPF,IPFCa.CO^G02 (expired),IPFCa.CO^G02,,70
IPF,IPFCb.CO^G02 (expired),IPFCb.CO^G02,,70
Iss DK,ISS.CO,ISS.CO,185668226.0,81
ISS World Servs,ISS.CO^F05 (expired),ISS.CO^F05,47335000.0,81
Jeudan,JDAN.CO,JDAN.CO,55432225.0,68
JULIUS KOCH A/S,JKGb.CO^B04 (expired),JKGb.CO^B04,68902.0,13
Jens & Moel,JMOE.CO^B15 (expired),JMOE.CO^B15,16932.0,68
F. Junckers,JUNC.CO^D04 (expired),JUNC.CO^D04,1720000.0,16
Jutlander Bank,JUTBK.CO^I21 (expired),JUTBK.CO^I21,8596679.0,64
Jyske Bank,JYSK.CO,JYSK.CO,64272095.0,64
Kapitalpleje,KAP.CO^D10 (expired),KAP.CO^D10,7000000.0,64
Lufthavne,KBHL.CO,KBHL.CO,7848070.0,52
Landic Prop,KEOPS.CO^I07 (expired),KEOPS.CO^I07,181522253.0,64
Landic Prop,KEOPSn2.CO^B07 (expired),KEOPSn2.CO^B07,75000.0,64
BRD Klee,KLEEb.CO,KLEEb.CO,33050.0,46
Kompan,KMPNb.CO^E05 (expired),KMPNb.CO^E05,471000.0,82
Kreditbanken,KRE.CO,KRE.CO,168200.0,64
Laan & Spar Bank,LASP.CO,LASP.CO,3472187.0,64
Holdingselskabet,LASTb.CO^E13 (expired),LASTb.CO^E13,3439846.0,45
Land & Leisure,LLa.CO^J16 (expired),LLa.CO^J16,75072587.0,55
Land & Leisure,LLb.CO^J16 (expired),LLb.CO^J16,927413.0,55
Ejendomsselskab,LOKA.CO^J08 (expired),LOKA.CO^J08,2700000.0,68
Lollands Bank,LOLB.CO,LOLB.CO,1080000.0,64
H.Lundbeck,LUN.CO^F22 (expired),LUN.CO^F22,995741110.0,21
Luxor,LUXORb.CO,LUXORb.CO,825000.0,66
Deltek Danmark,MACO.CO^H10 (expired),MACO.CO^H10,21326850.0,58
Maersk,MAERSKa.CO,MAERSKa.CO,15828942.0,50
Maersk,MAERSKb.CO,MAERSKb.CO,15828942.0,50
Matas,MATAS.CO,MATAS.CO,38291492.0,47
Max Bank,MAX.CO^J11 (expired),MAX.CO^J11,7622313.0,64
Migatronic,MIGAb.CO^D21 (expired),MIGAb.CO^D21,372973.0,28
2M Invest,MMINV.CO^G02 (expired),MMINV.CO^G02,206313660.0,64
Moens Bank,MNBA.CO,MNBA.CO,2000000.0,64
Molslinjen,MOLS.CO^J16 (expired),MOLS.CO^J16,14166670.0,50
Mondo,MONDO.CO^L09 (expired),MONDO.CO^L09,46764618.0,62
Morso Bank,MORS.CO^K10 (expired),MORS.CO^K10,351990.0,64
Monberg & Thors,MTb.CO^D19 (expired),MTb.CO^D19,2817000.0,41
